Text,Score,Sentiment,clean_text
"Oh. My!  This hazelnut butter is DIVINE!!! Being the frugal, savvy shopper that I am, I balked in the store when I first saw how much this cost. ""There is no way I am paying almost $10 for a bottle of NUT butter,"" I thought (but there was no dissuading my boyfriend). And, the second it hit my tongue, I was a convert. This stuff is SO worth the price tag.<br /><br />  I feel that before I continue I should mention that unlike so many others, I am not, nor have I ever been a fan of Nutella.  In fact, I only tasted it once (several months before sampling this treat), and while I found it tasty enough (with that much sugar, fat, and chocolate, how could it not be?), I wasn't thoroughly impressed. But, THIS.  THIS is absolute heaven.  As noted in my title, it tastes like Ferrero Rocher, and it is ADDICTIVE!!<br /><br />  **A NOTE about CONSISTENCY/TEXTURE**  As other reviewers noted, this is not an entirely smooth butter, but I'm not really bothered by that. (It's not CHUNKY, but, there are bits of what I can only imagine to be hazelnut in the spread that are the size of small grains of sand.)<br />Let me note, though, that we first sampled this out of the squeeze pack, and after sitting in a pocket for a couple of hours, the butter oozed out in a gloriously creamy fashion, almost like a thick caramel sauce.  In fact, I don't recall detecting any of the ""grit"" or ""grain"" that is present at room temp. when we had it that way. . .So, try warming this up in a double boiler or other gentle heating method if you're really craving that smooth consistency.) Since this is so thick, sometimes it CAN be difficult to spread on softer breads; my boyfriend likes to eat this on challah (for some reason, the combo reminds me of a boston creme doughnut!!) but he likes to take a huge glob of it and smear it instead of gingerly spreading (I know, I know -- what guy ""gingerly spreads""? :) so please take note of that.<br /><br />  I LOVE that the first ingredient in this is HAZELNUTS.  It IS vegan (though it doesn't say it on the container) so it doesn't contain any dairy.<br /><br />  No comparison can be made between this and Nutella (though it is obviously unavoidable as they are both a hazelnut chocolate spread) so please don't buy this hoping for something similar in taste (though I can't imagine even the staunchest of Nutella lovers being disappointed by this; my boyfriend is -- and HAS been for YEARS -- a Nutella diehard, and he, too, absolutely ADORES this). If you're looking for a delicious, decadent treat that will tantalize your taste buds :) and haunt your dreams, then, by all means, dig in!",5,Positive,oh hazelnut butter divine frugal savvy shopper balked store first saw much cost way paying almost bottle nut butter thought dissuading boyfriend second hit tongue convert stuff worth price tag br br feel continue mention unlike many others ever fan nutella fact tasted several months sampling treat found tasty enough much sugar fat chocolate could thoroughly impressed absolute heaven noted title tastes like ferrero rocher addictive br br note consistency texture reviewers noted entirely smooth butter really bothered chunky bits imagine hazelnut spread size small grains sand br let note though first sampled squeeze pack sitting pocket couple hours butter oozed gloriously creamy fashion almost like thick caramel sauce fact recall detecting grit grain present room temp way try warming double boiler gentle heating method really craving smooth consistency since thick sometimes difficult spread softer breads boyfriend likes eat challah reason combo reminds boston creme doughnut likes take huge glob smear instead gingerly spreading know know guy gingerly spreads please take note br br love first ingredient hazelnuts vegan though say container contain dairy br br comparison made nutella though obviously unavoidable hazelnut chocolate spread please buy hoping something similar taste though imagine even staunchest nutella lovers disappointed boyfriend years nutella diehard absolutely adores looking delicious decadent treat tantalize taste buds haunt dreams means dig
"Ferrarra Pan Red Hots are just what red hots are meant to be. The small individual boxes allow me to control myself and recognize when I've had enough. Large plastic bag is not a good idea for small little candies, you just keep eating.",5,Positive,ferrarra pan red hots red hots meant small individual boxes allow control recognize enough large plastic bag good idea small little candies keep eating
"The PEZ mini rolls are great. There are a few different flavors. Very cute for children. Only about 5 come in a mini roll, so you need a few to fill up the PEZ dispenser, but ultimately a good value.",5,Positive,pez mini rolls great different flavors cute children come mini roll need fill pez dispenser ultimately good value
"Discovered this when our children brought it home the first time from Chiang Mai, Thailand.  It is sweet with the wonderful Thai chili peppers infused into the sauce.  Not ""screaming"" hot, but just right for those who like a bit of a ""kick"" to their sauces.  Highly recommend for chicken. Also excellent on pork.",5,Positive,discovered children brought home first time chiang mai thailand sweet wonderful thai chili peppers infused sauce screaming hot right like bit kick sauces highly recommend chicken also excellent pork
"I bought this as a present for some friends and family members for a Christmas present. They loved it! It is fun for someone who has never tried it and a treat to those who have. It was very well packed and came very quickly. There is not very much in a pack, but still the same amount as anywhere else it is sold and better priced than the other places you can buy it at, such as the science center.",5,Positive,bought present friends family members christmas present loved fun someone never tried treat well packed came quickly much pack still amount anywhere else sold better priced places buy science center
"Excellent taste and decent quantity for the price.  One thing to watch out for:  in humid climates, once the container's seal is broken, the strawberry pieces retain moisture and become soft, not crunchy anymore.  Still taste great, but the texture is compromised.",3,Neutral,excellent taste decent quantity price one thing watch humid climates container seal broken strawberry pieces retain moisture become soft crunchy anymore still taste great texture compromised
"This is one of the best coffees I have brewed in Keurig.  I tried to order it on my Subscribe and Save account and it is impossible.  I called and was on the phone for quite a while with the rep, and she told me to input some numbers but there was nowhere on the website to do so.",5,Positive,one best coffees brewed keurig tried order subscribe save account impossible called phone quite rep told input numbers nowhere website
If you are feeding Similac Sensitive then buy these now. We purchased a box to have for the diaper bag and for back-up. The only reason I didn't give it 5 stars was the size. Our newborn isn't drinking 8 oz yet so have to throw it in the fridge once open and if your not near a fridge you have to throw it out. But when you have a crying newborn in one arm you'll do anything to make them happy!,4,Positive,feeding similac sensitive buy purchased box diaper bag back reason give stars size newborn drinking oz yet throw fridge open near fridge throw crying newborn one arm anything make happy
"As a hot drink, this made a great alternative to tea.  It's spicy and somehow refreshing.<br /><br />It tastes mostly natural, and it's said to be, but I did not have retail packaging - nor are the ingredients listed online - so I have no idea what is actually in the product, and I would want to know for sure before buying very much of it.<br /><br />I also would like to try it in carbonated water to see if one can make a more naural, less sugary ginger-ale.",4,Positive,hot drink made great alternative tea spicy somehow refreshing br br tastes mostly natural said retail packaging ingredients listed online idea actually product would want know sure buying much br br also would like try carbonated water see one make naural less sugary ginger ale
Popchips is a new product for me--ordered after seeing an ad in Weight Watchers magazine.  Loved the product.  Packing was perfect.  Shipping went fine.  No complaints with this order at all.  Probably will order again soon!,5,Positive,popchips new product ordered seeing ad weight watchers magazine loved product packing perfect shipping went fine complaints order probably order soon
"How about $1.50/12oz. pack at a special discount store in Ft. Worth?  Yes, they have gone out of date, but do I care?  They are good, but I have to pace myself and not lose control.  So far, the only ones they have had are the vanilla.  I long for the old Keebler Vanilla Cremes that, like so many other Keebler cookies, are not made anymore.  These are really good.",4,Positive,oz pack special discount store ft worth yes gone date care good pace lose control far ones vanilla long old keebler vanilla cremes like many keebler cookies made anymore really good
"I love grilling fish, chicken, beef and veggies (for my vegetarian family members) and this stuff is just amazing! I will definitely keep this in stock in my kitchen pantry. Subtle flavors, definitely restaurant quality.",5,Positive,love grilling fish chicken beef veggies vegetarian family members stuff amazing definitely keep stock kitchen pantry subtle flavors definitely restaurant quality
"These make a good on-the-go breakfast.  They don't taste like 'health food' whole grain, and don't taste like refined wheat (white bread or other breakfast bar options).",4,Positive,make good go breakfast taste like health food whole grain taste like refined wheat white bread breakfast bar options
I found this in a fancy hotel and got it from amazon. The aroma once brewed calms me down when I'm stressed at work adn it comes in a fancy pouch.,5,Positive,found fancy hotel got amazon aroma brewed calms stressed work adn comes fancy pouch
"Real stock and demi-glace are the foundations for sauces and gravies, not only for French food, but for just about any cuisine.  The problem is that making them is time-consuming, and even getting the bones from which to start the stock can be problematic.  Enter More Than Gourmet.  Their condensed demi-glace is shelf stable and provides an easy-to-use base for your cooking needs.<br /><br />Is it the same as fresh-made demi-glace?  Well, no.  But it is still pretty good, and it doesn't have that artificial-like resonating flavor so common in dry stock and demi-glace products.<br /><br />I use the demi-glace not only for sauces, but I also use it to add body to pastas, stews, soups, and even Asian dishes.  This is a product I always have in my pantry, and I recommend it to all cooks.<br /><br />(I should add that I used to buy this directly from More Than Gourmet at a higher price.  Buying it form Amazon, at the cheaper price, makes it all the better.)",5,Positive,real stock demi glace foundations sauces gravies french food cuisine problem making time consuming even getting bones start stock problematic enter gourmet condensed demi glace shelf stable provides easy use base cooking needs br br fresh made demi glace well still pretty good artificial like resonating flavor common dry stock demi glace products br br use demi glace sauces also use add body pastas stews soups even asian dishes product always pantry recommend cooks br br add used buy directly gourmet higher price buying form amazon cheaper price makes better
You can buy these for a dollar a bottle at walmart.  Here you're paying over fifty dollars. What a rip off,1,Negative,buy dollar bottle walmart paying fifty dollars rip
"Great flavor, nearly gourmet-style.  Downright addictive!  Obviously hand-made, but more effort needs to be put into mixing to get a better marbling presentation.  Rigid plastic packaging does not stand up well to transport the way it was simply stacked in the box.  Manufacturer needs a slightly larger box that would provide room for bubble-pack or styro-peanuts to protect contents.",4,Positive,great flavor nearly gourmet style downright addictive obviously hand made effort needs put mixing get better marbling presentation rigid plastic packaging stand well transport way simply stacked box manufacturer needs slightly larger box would provide room bubble pack styro peanuts protect contents
These are the same Hot Fries I would find it gas stations. When I moved to Florida I couldn't find these anywhere. I ordered these and they had the same taste I remembered.,5,Positive,hot fries would find gas stations moved florida find anywhere ordered taste remembered
"My grandkids seem to live on Kraft mac-n-cheese.  They request it and we have tried the store brand to no avail.  It has to be Kraft.  What is nice about this product is that Kraft is making a mac-n-cheese that includes veggies.  You don't see any veggies so the kids can't push them away.  Even my son, the uber-healthy eater liked what I was feeding his kids.  It is still tasty mac-n-cheese with the benefit of being 50% healthier.",5,Positive,grandkids seem live kraft mac n cheese request tried store brand avail kraft nice product kraft making mac n cheese includes veggies see veggies kids push away even son uber healthy eater liked feeding kids still tasty mac n cheese benefit healthier
"I love watermelon, and I love tea. Needless to say, I've tried just about every watermelon tea I've seen. This one blows them all out of the water. It's best made with a lower water temperature, though you'll probably be drinking it cold so it doesn't matter. A touch of cream brings out the fruit flavor even more.<br />This matcha is also amazing added to a puree of watermelon and mint. It keeps the mint from overpowering the fruit, while adding a nice green tea flavor. And if you want something unique and different, give it a try rubbed onto a slice of watermelon. There are no words to even describe how good it is!",5,Positive,love watermelon love tea needless say tried every watermelon tea seen one blows water best made lower water temperature though probably drinking cold matter touch cream brings fruit flavor even br matcha also amazing added puree watermelon mint keeps mint overpowering fruit adding nice green tea flavor want something unique different give try rubbed onto slice watermelon words even describe good
This chai tea is absolutely delicious. Very creamy and full of flavor. I mix it with the Starbucks Sumatra coffee for a tasty drink.  Buy it - you won't regret it!!,5,Positive,chai tea absolutely delicious creamy full flavor mix starbucks sumatra coffee tasty drink buy regret
"this ia an absolutely fantastic product!  wonderful taste and texture with just enough ""chew"" to make every bite a delight.  I have celiac disease and have to search out good products to eat through trial and error.  I HAVE FOUND MY PIZZA DOUGH!",5,Positive,ia absolutely fantastic product wonderful taste texture enough chew make every bite delight celiac disease search good products eat trial error found pizza dough
the product was nice and fresh. Also had a good and fair price. Will buy this product again.,5,Positive,product nice fresh also good fair price buy product
"Unfortunately, all six packages that arrived were within one week of their expiration date, and all six packages of cereal were rancid.  To its credit, Amazon refunded the total price for the product.  We were very disappointed because we have been great fans of the Mesa Sunrise Cereal, which we have previously purchased from the local grocery stores.  Perhaps Amazon could somehow list the expiration dates of the product(s) before listing them on its website.",1,Negative,unfortunately six packages arrived within one week expiration date six packages cereal rancid credit amazon refunded total price product disappointed great fans mesa sunrise cereal previously purchased local grocery stores perhaps amazon could somehow list expiration dates product listing website
"I love Indian food. Most of my friends have no stomach for it and therefore I rarely get to indulge myself. This is closest to a restaurant version that I have ever had. It must also be well liked by the general population, because my local supermarkets are always out of it. (And I live in white food county.) When they restock, I grab the entire quality they have. Believe it or not, I will drive to three or four supermarkets to find it in stock.<br /><br />I am also on a low carb, original Dr. Atkins Lifestyle. This stuff is perfect. It gives me the flavor that I desire in chicken with very few sugar carbs per serving (unlike many barbecue sauces and marinades).<br /><br />It is a bit salty. FYI so use unsalted butter.",5,Positive,love indian food friends stomach therefore rarely get indulge closest restaurant version ever must also well liked general population local supermarkets always live white food county restock grab entire quality believe drive three four supermarkets find stock br br also low carb original dr atkins lifestyle stuff perfect gives flavor desire chicken sugar carbs per serving unlike many barbecue sauces marinades br br bit salty fyi use unsalted butter
No-one should do oatmeal better than Quaker ....right? Well they have been trying to expand from just the basic oatmeal for some time. These soft cookies are tasty and satisfying. In my family you can tell how good they are by how quickly they disappear. Weel - they disappeared in swift order. In fact I barely got to taste more than one. The general consensus is these are 'just like homemade. There is not greater compliment that can be paid. They are packaged conveniently for inclusion in school lunches etc. They certainly make a great accompaniment for tea or coffee for that unwinding moment all of us need at somour day.,5,Positive,one oatmeal better quaker right well trying expand basic oatmeal time soft cookies tasty satisfying family tell good quickly disappear weel disappeared swift order fact barely got taste one general consensus like homemade greater compliment paid packaged conveniently inclusion school lunches etc certainly make great accompaniment tea coffee unwinding moment us need somour day
"Our Minneapolis Indian shops stopped selling Darjeeling tea over a year ago. I love this tea as it tastes like the stuff I grew up drinking in England, altho I drink this black, no sugar.<br /><br />A year ago, I bought a couple of pounds online for $15/pound including shipping. I have done a lot of searching to find out why Darjeeling has seemingly disappeared. The Indian grocers are mystified, and online there is no clue. Apparently, green label Darjeeling is Lipton's most popular tea. Hard to believe if people can't actually purchase it. The name changed from Lipton Green Label to Lipton Finest Darjeeling.<br /><br />iShopIndian has 250g for $6.99 but have a flat shipping fee of $10, so one would want to buy several boxes. I have not bought through this vendor, but I plan to.<br /><br />I have a friend visiting India and hope she will find room in her suitcase to bring me back a pound (or 3). I plan to ask if there is a shortage in India.<br />Good luck finding this tea at an affordable price!",5,Positive,minneapolis indian shops stopped selling darjeeling tea year ago love tea tastes like stuff grew drinking england altho drink black sugar br br year ago bought couple pounds online pound including shipping done lot searching find darjeeling seemingly disappeared indian grocers mystified online clue apparently green label darjeeling lipton popular tea hard believe people actually purchase name changed lipton green label lipton finest darjeeling br br ishopindian g flat shipping fee one would want buy several boxes bought vendor plan br br friend visiting india hope find room suitcase bring back pound plan ask shortage india br good luck finding tea affordable price
"I have been buying this pasta for about 6 months now and I'm actually subscribing to it now. It tastes just like regular pasta except with few carbs. There is supposed to be some sort of additive in the pasta that reduces the carbs. I think it works sort of like a fat blocker, but I've heard that they can cause digestive problems.<br /><br />I've been eating it for 6 months with no problems, and it tastes great too!",5,Positive,buying pasta months actually subscribing tastes like regular pasta except carbs supposed sort additive pasta reduces carbs think works sort like fat blocker heard cause digestive problems br br eating months problems tastes great
This tea has been my favorite black tea since I lived in England. It turned me into a tea snob. I just can't drink any other tea on a daily basis.,5,Positive,tea favorite black tea since lived england turned tea snob drink tea daily basis
"When perchance you find these nuggets of bliss, let not your grasp wane, nor falter.<br /><br />Your tongue will educate you to what it was truly meant for.<br /><br />These cookies are made not by some giant megacorp spewing splops of sugary dough onto endless rolls.<br /><br />Twin Dragon is a family owned restaurant in L.A. that's been there for almost fifty years.<br /><br />They make great food, not TV commercials.<br /><br />These are one of life in SoCal's great secret treasures.",5,Positive,perchance find nuggets bliss let grasp wane falter br br tongue educate truly meant br br cookies made giant megacorp spewing splops sugary dough onto endless rolls br br twin dragon family owned restaurant l almost fifty years br br make great food tv commercials br br one life socal great secret treasures
"This tea has a great, strong peppermint flavor.  So much richer than a regular tea bag.  You can actually use one tea bag for a couple of cups of tea.  Highly recommend.",5,Positive,tea great strong peppermint flavor much richer regular tea bag actually use one tea bag couple cups tea highly recommend
"This rice is sweet, savory, crunchy and heaven, all in one bite. It really is the best rice on the planet!  We purchased one package of this rice at our local grocery because it looked interesting.  It's pretty much the only rice we purchase now.  It's become so popular that we have difficulty finding it on the grocery shelves.  We started rationing how often we used the rice, until I found it on Amazon.com.  Now I can have this amazing rice as often as I want!",5,Positive,rice sweet savory crunchy heaven one bite really best rice planet purchased one package rice local grocery looked interesting pretty much rice purchase become popular difficulty finding grocery shelves started rationing often used rice found amazon com amazing rice often want
THIS IS MY FAVORITE OF THE TAZO TEAS. IT HAS CAMOMILE IN IT PLUS ALOT OF OTHER FLAVORS WITH THE SAME TYPE OF TASTE. I WAS SO HAPPY THAT I COULD GET IT ON AMAZON INSTEAD OF HAVING TO GO TO THE STARBUCKS.,5,Positive,favorite tazo teas camomile plus alot flavors type taste happy could get amazon instead go starbucks
"I use this in my protein shakes. I combine this with maca, cacao, super green food supplement, and fresh or frozen fruit and it is great.",5,Positive,use protein shakes combine maca cacao super green food supplement fresh frozen fruit great
"These are great!  Not the same as Maynards, but still really good in their own right! They were cheaper than expected but good quality.",4,Positive,great maynards still really good right cheaper expected good quality
"Was making homemade Farmer's cheese for one of my cooking videos. Had GF toast points, grapes, and these crackers on a plate. Slid a knife full of cheese across the top...all going well... and then took my first bite on camera, had to fake a smile. These were very dry at first, and then turned rather pastey in my mouth. Took them home, noone in the family would touch them after one try. I ended up giving these to my active-duty hubby who took them to the base. He described them later on as ""hard to choke down, even with milk"" crackers! Nice try though. Keep it up. You'll get it.<br /><br />Other products by Glutino, like the preztels, are delish. Someone needs to come up with a good cheddar cheese cracker. Then I'd be happy.",1,Negative,making homemade farmer cheese one cooking videos gf toast points grapes crackers plate slid knife full cheese across top going well took first bite camera fake smile dry first turned rather pastey mouth took home noone family would touch one try ended giving active duty hubby took base described later hard choke even milk crackers nice try though keep get br br products glutino like preztels delish someone needs come good cheddar cheese cracker happy
"I discovered these amazing candies when I got a few in a trade for some perfume - and immediately I was hooked!  I'm from the south, and grew up on sweet tea so I like to think I know good tea when I taste it - and these are the best!  Sweet, but not too sweet and with that rich, heavy flavor of very freshly brewed tea that any tea connoisseur knows and loves.  Definitely a must-buy for day-to-day candy snacking!",5,Positive,discovered amazing candies got trade perfume immediately hooked south grew sweet tea like think know good tea taste best sweet sweet rich heavy flavor freshly brewed tea tea connoisseur knows loves definitely must buy day day candy snacking
"My mini schnauzer loves the (expensive) bully sticks we buy at the store, so I decided to try these.  They are skinnier and she goes through them much faster.  They also stink and make her breath stink!!  We still have a lot left, not sure what I am going to do.",2,Negative,mini schnauzer loves expensive bully sticks buy store decided try skinnier goes much faster also stink make breath stink still lot left sure going
I adopted a Tabby Point Siamese some time ago and started feeding this brand after doing research on the breed. I learned that because of the breed's facial bone structure they tend to consume their food rapidly (much like a vacuum cleaner). The Siamese formula kibble is shaped like a Cheerio and requires more chewing before swallowing. This formula helped my pet to consume smaller amounts per feeding. Another benefit is the high protein content; more per serving than other brands. Also contains L-lysine for immunity.<br />A great price too; at least $3 less than at most pet food super centers and free shipping with orders over $25!,5,Positive,adopted tabby point siamese time ago started feeding brand research breed learned breed facial bone structure tend consume food rapidly much like vacuum cleaner siamese formula kibble shaped like cheerio requires chewing swallowing formula helped pet consume smaller amounts per feeding another benefit high protein content per serving brands also contains l lysine immunity br great price least less pet food super centers free shipping orders
"Five stars for the product. This is the nicest formulation for a 100% liver product I have seen (as opposed to the ""liver flavored"" treats with other, cheaper ingredients). The pieces are firm, easily broken into smaller bits and do not break down into a dusty powder like the freeze dried ones do (especially chicken livers). And they are buffalo instead of beef or chicken if that matters (due to food allergies and sensitivities, it might). The only issue I have is cost. These are $3.21/oz. The beef liver treats I have used previously range between $1.28 and $1.68 per oz.<br />If your dog can not eat beef or chicken, I highly recommend this product.",4,Positive,five stars product nicest formulation liver product seen opposed liver flavored treats cheaper ingredients pieces firm easily broken smaller bits break dusty powder like freeze dried ones especially chicken livers buffalo instead beef chicken matters due food allergies sensitivities might issue cost oz beef liver treats used previously range per oz br dog eat beef chicken highly recommend product
"This is pretty good molasses, and for blackstrap molasses lovers, I'd say it must be about perfect.  I take two tablespoons a day for the iron and calcium because the label says that a single tablespoon contains 20% of our daily requirement of each.  It's my understanding that Plantation blackstrap molasses is prepared in iron kettles, thus providing the high level of iron -- which not every brand will have.",5,Positive,pretty good molasses blackstrap molasses lovers say must perfect take two tablespoons day iron calcium label says single tablespoon contains daily requirement understanding plantation blackstrap molasses prepared iron kettles thus providing high level iron every brand
"Since we've gotten the Senseo, no more buying coffee at Starbucks or any other coffee shop.  This coffee is the BEST.",5,Positive,since gotten senseo buying coffee starbucks coffee shop coffee best
"My husband and I love ginger snaps.  I particularly like making triple ginger snaps where the secret ingredient is freshly ground pepper for the extra kick.  When I think of ginger snaps I think of flat, spicy, and crispy.  These organic Newman's Own ginger snaps have that spicy ginger taste but are thicker than normal which make them harder to bite into.  If you don't like crunchy cookies, these aren't for you!  But if you do like ginger snaps then you'll like these.  I'm enjoying the ginger after taste as I type.<br />Just to let you know, not all the ingredients are organic and it contains soy.<br />Nutritional Information:<br />Serving size 5 cookies (30g)<br />6 servings per bag<br />Calories 130<br />Calories from fat 30<br />Total Fat 3.5g<br />Saturate Fat 1.5g<br />Trans Fat 0g<br />Cholesterol 0mg<br />Sodium 180mg<br />Total Carbs 24g<br />Dietary Fiber 0g<br />Sugars 12g<br />Protein 1 g",4,Positive,husband love ginger snaps particularly like making triple ginger snaps secret ingredient freshly ground pepper extra kick think ginger snaps think flat spicy crispy organic newman ginger snaps spicy ginger taste thicker normal make harder bite like crunchy cookies like ginger snaps like enjoying ginger taste type br let know ingredients organic contains soy br nutritional information br serving size cookies g br servings per bag br calories br calories fat br total fat g br saturate fat g br trans fat g br cholesterol mg br sodium mg br total carbs g br dietary fiber g br sugars g br protein g
I discovered this wonderful cinnamon tea at Au Bon Pain.  I am now going to buy it to have at home.  I love it.,5,Positive,discovered wonderful cinnamon tea au bon pain going buy home love
Just a little bit of this stuff goes a long way! A few pinches in any dish will liven up a dish. It is flavorful. I am amazed at how many different items I can use this for.,5,Positive,little bit stuff goes long way pinches dish liven dish flavorful amazed many different items use
We've ordered this to keep in the office and it's wonderfully packaged and easy to use.  Getting the larger boxes adds the convenience of 4 tea bags per larger individual package (There are 10 large individual packages per box).  There's less trash and it still stays fresh.  The price is usually much better than the grocery store and it arrives within a day or two.,5,Positive,ordered keep office wonderfully packaged easy use getting larger boxes adds convenience tea bags per larger individual package large individual packages per box less trash still stays fresh price usually much better grocery store arrives within day two
"Even though these are not traditional K cups, they do make a good strong cup of coffee. You need to put them in a sealed container once you open the bag, so they stay fresh. But, I was pleasantly surprised at how good the coffee was. I prefer a strong cup of coffee and these are strong enough for me. Overall a great value compared to regular K cups.",4,Positive,even though traditional k cups make good strong cup coffee need put sealed container open bag stay fresh pleasantly surprised good coffee prefer strong cup coffee strong enough overall great value compared regular k cups
"I usually never give bad reviews to products but this is so bad. I have peanut butter daily, I love it so much. I got this to mix into smoothies but it is far too salty to use that way. It taste nothing like peanut butter. It is just gross.",1,Negative,usually never give bad reviews products bad peanut butter daily love much got mix smoothies far salty use way taste nothing like peanut butter gross
Amazon purchase:<br /><br />I ordered 6 bags of chia seeds from Bob's Red Mill.  They sent me 6 bags but one was cut open and the contents along with the damaged bag was put in a zip lock baggie.  No way am I going to eat this product not knowing what might be in with the seeds.  I'm very disappointed that something like this happened along with being out 1 bag.<br /><br />Ted,3,Neutral,amazon purchase br br ordered bags chia seeds bob red mill sent bags one cut open contents along damaged bag put zip lock baggie way going eat product knowing might seeds disappointed something like happened along bag br br ted
"I have a sensitive stomach and I have a hard time swallowing solid food in the morning.<br /><br />I drink this stuff to get me through to lunch time.<br /><br />It's delicious and substantial.<br /><br />I am a picky eater and I often get bored with foods after a while, but I've been drinking this stuff for over a year and I've never gotten tired of it.",5,Positive,sensitive stomach hard time swallowing solid food morning br br drink stuff get lunch time br br delicious substantial br br picky eater often get bored foods drinking stuff year never gotten tired
"this is the best of the decaffeinated coffees available.  have tried several others but always come back to this one, especially when having friends for dinner.",4,Positive,best decaffeinated coffees available tried several others always come back one especially friends dinner
"Though my daughter can chew on solid food (for the most)she loves the way these puffs dissolve in her mouth. She gets so excited when she sees me take the canister out of the cabinet. My husband and I have tried them ourselves, along with our 3 year old son, and we even found them tasty. The best part is that they're organic with no added sugar or high fructose corn syrup, so I feel comfortable having her snack on them.",5,Positive,though daughter chew solid food loves way puffs dissolve mouth gets excited sees take canister cabinet husband tried along year old son even found tasty best part organic added sugar high fructose corn syrup feel comfortable snack
"Some boxes have one mint, some have 3, some have 5....some of the people that got them were pretty upset with the inconsistent way they were packaged, as well was I!",1,Negative,boxes one mint people got pretty upset inconsistent way packaged well
I had this soup and immediately logged on to Amazon to buy more and buy bulk.  I love it!  Delicious and guilt free!,5,Positive,soup immediately logged amazon buy buy bulk love delicious guilt free
"This tea is too delicious! I can't believe how much flavor it packs. I drank this when I was losing weight and needed something sweet. I don't know how, but it really tastes like vanilla caramel, but there are no calories. When I was feeling saucy, I would add a teaspoon of sugar, and it was just a dessert in a mug. It's perfect for a crisp fall evening. I love this tea!",5,Positive,tea delicious believe much flavor packs drank losing weight needed something sweet know really tastes like vanilla caramel calories feeling saucy would add teaspoon sugar dessert mug perfect crisp fall evening love tea
The taste of extra strength is better than regular 5 hour energy but I still question the ability to give ME more energy. Would recommend if you like energy products.,3,Neutral,taste extra strength better regular hour energy still question ability give energy would recommend like energy products
"After buying a box at a store, I found these for a great price on Amazon.  At first, I thought the tea would go well with milk and sugar, but when I tried it, I just love it black (no calories - yay!).  There's a subtle scent and taste of both vanilla and caramel that make this so amazing.",5,Positive,buying box store found great price amazon first thought tea would go well milk sugar tried love black calories yay subtle scent taste vanilla caramel make amazing
"I feel like I must have eaten a different product than all the other reviewers! These chips are tasteless and without substance. They are nowhere near as good as other baked or popped chips I've had. I don't plan to finish the box, and I even took the time to send customer feedback to Kellogg's - they're just that disappointing.",1,Negative,feel like must eaten different product reviewers chips tasteless without substance nowhere near good baked popped chips plan finish box even took time send customer feedback kellogg disappointing
Solay caramels are the most delicious buttery salty & sweet confection I have ever eaten.  They are pricey but they are such a treat.  Soft and chewy.  Makes a great gift when you don't know what to get someone.  This is delicious!,5,Positive,solay caramels delicious buttery salty sweet confection ever eaten pricey treat soft chewy makes great gift know get someone delicious
"This is amazing.  I like it better than all other coconut oils.  Of course it tastes like coconut.  I don't want to use oils that are so overly processed and refined that they taste like ""nothing"".  I don't understand why the coconut flavor bothers some people.  If you don't like coconut, find a different oil.<br /><br />You can use this for grilling, frying, baking, sauteeing, greasing & flouring a cake pan, and all other places that you'd use butter or a Crisco-type product.  Just be careful on the baking because this melts at a low temperature.<br /><br />It is amazing as a skin softener, a hair conditioner, a leave in hot oil treatment, make-up remover, eyelash conditioner/glosser, shaving ""cream"", lip softener, cuticle oil, nail conditioner, bath oil, after bath oil, massage oil (add a few drops of essential oil if you wish), etc.  Speaking of massage oil, this is an excellent product for ""adult activities"" . . . as a perk it is definitely edible.<br /><br />If you have dry feet, slather this on, rub it in, wrap your feet with plastic wrap, cover with socks, and go to bed.  In the morning your feet will feel nice and soft.<br /><br />This can be used on leather such as shoes, jackets, and purses.  Because it's clear, you can use it on leather products that have decorative stitching that you can't cover with regular colored polish.  (In fact, I just bent over and put coconut oil on my black leather shoes with my fingers . . . the only clean up needed was to rub my hands together.)<br /><br />I've even used it on my wood furniture to obtain the same results as furniture oils.  I have used it to grease hinges and mechanical parts.  I have heard that you can use it to add lustre to pearls but I'm too chicken to try it on my good stuff.<br /><br />I know people that have used it as a laxative (in large quantities) and a diet aid.  When I eat about a T. a day my skin is softer and my wrinkles are less noticable.<br /><br />I keep finding new uses.  I'm sure you'll find some, too.",5,Positive,amazing like better coconut oils course tastes like coconut want use oils overly processed refined taste like nothing understand coconut flavor bothers people like coconut find different oil br br use grilling frying baking sauteeing greasing flouring cake pan places use butter crisco type product careful baking melts low temperature br br amazing skin softener hair conditioner leave hot oil treatment make remover eyelash conditioner glosser shaving cream lip softener cuticle oil nail conditioner bath oil bath oil massage oil add drops essential oil wish etc speaking massage oil excellent product adult activities perk definitely edible br br dry feet slather rub wrap feet plastic wrap cover socks go bed morning feet feel nice soft br br used leather shoes jackets purses clear use leather products decorative stitching cover regular colored polish fact bent put coconut oil black leather shoes fingers clean needed rub hands together br br even used wood furniture obtain results furniture oils used grease hinges mechanical parts heard use add lustre pearls chicken try good stuff br br know people used laxative large quantities diet aid eat day skin softer wrinkles less noticable br br keep finding new uses sure find
